CMDLINE python countless3d.py
MEM 407.214844 1517462745.5568
MEM 384.949219 1517462745.6572
MEM 375.144531 1517462745.7576
MEM 407.214844 1517462745.8580
MEM 407.214844 1517462745.9584
MEM 407.214844 1517462746.0588
MEM 402.726562 1517462746.1592
MEM 375.144531 1517462746.2596
MEM 359.625000 1517462746.3599
MEM 407.214844 1517462746.4603
MEM 407.214844 1517462746.5607
MEM 407.214844 1517462746.6610
MEM 386.949219 1517462746.7614
MEM 375.144531 1517462746.8618
MEM 407.214844 1517462746.9622
MEM 407.214844 1517462747.0625
MEM 407.214844 1517462747.1629
MEM 378.949219 1517462747.2633
MEM 366.914062 1517462747.3637
MEM 407.214844 1517462747.4641
MEM 407.214844 1517462747.5645
MEM 407.214844 1517462747.6648
MEM 375.917969 1517462747.7652
MEM 359.371094 1517462747.8657
MEM 407.214844 1517462747.9661
MEM 407.214844 1517462748.0665
MEM 343.144531 1517462748.1668
MEM 359.371094 1517462748.2672
MEM 375.144531 1517462748.3676
MEM 378.949219 1517462748.4679
MEM 391.179688 1517462748.5683
MEM 391.179688 1517462748.6687
MEM 391.179688 1517462748.7691
MEM 391.179688 1517462748.8695
MEM 375.144531 1517462748.9699
MEM 308.789062 1517462749.0703
MEM 338.914062 1517462749.1706
MEM 384.761719 1517462749.2710
MEM 402.976562 1517462749.3714
MEM 407.031250 1517462749.4718
MEM 344.179688 1517462749.5722
MEM 375.148438 1517462749.6726
MEM 366.730469 1517462749.7729
MEM 391.441406 1517462749.8733
MEM 398.800781 1517462749.9737
MEM 400.976562 1517462750.0741
MEM 359.628906 1517462750.1744
MEM 340.917969 1517462750.2748
MEM 375.148438 1517462750.3752
MEM 362.730469 1517462750.4756
MEM 380.953125 1517462750.5759
MEM 394.800781 1517462750.6763
MEM 375.375000 1517462750.7767
MEM 370.917969 1517462750.8771
MEM 359.183594 1517462750.9775
MEM 375.148438 1517462751.0778
MEM 368.976562 1517462751.1782
MEM 392.472656 1517462751.2786
MEM 402.800781 1517462751.3790
MEM 375.375000 1517462751.4793
MEM 375.148438 1517462751.5797
MEM 359.183594 1517462751.6801
MEM 375.148438 1517462751.7804
MEM 388.765625 1517462751.8808
MEM 407.218750 1517462751.9812
MEM 370.917969 1517462752.0816
MEM 359.183594 1517462752.1820
MEM 375.148438 1517462752.2824
MEM 366.730469 1517462752.3827
MEM 391.441406 1517462752.4831
MEM 402.800781 1517462752.5834
MEM 375.375000 1517462752.6838
MEM 375.148438 1517462752.7842
MEM 359.183594 1517462752.8846
MEM 375.148438 1517462752.9850
MEM 375.218750 1517462753.0854
MEM 402.976562 1517462753.1858
MEM 407.031250 1517462753.2861
MEM 340.917969 1517462753.3865
MEM 375.148438 1517462753.4869
MEM 362.730469 1517462753.5873
MEM 391.957031 1517462753.6876
MEM 402.800781 1517462753.7880
MEM 375.375000 1517462753.8884
MEM 375.148438 1517462753.9888
MEM 359.183594 1517462754.0891
MEM 375.148438 1517462754.1895
